slug,title,keywords,accelerator,gpu,internet,sources
birdclef-2026-exp-34-0943-seed-021,Birdclef 2026 Exp 34 0943 Seed 021,"Perch, ProtoSSM, SED, rank, blend, ensemble, ONNX, gate, OOF, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,tuckerarrants/bc2026-distilled-sed-public|jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
birdclef-2026-exp-47-ted947-rerun-audit,birdclef 2026 exp 47 ted947 rerun audit,"Perch, ProtoSSM, SED, rank, blend, ensemble, ONNX, gate, OOF, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,tuckerarrants/bc2026-distilled-sed-public|jaejohn/perch-meta|tuckerarrants/perch-v2-no-dft-onnx|rishikeshjani/perch-onnx-for-birdclef-2026|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
birdclef-2026-exp-48-ted947-seed42-audit,birdclef 2026 exp 48 ted947 seed42 audit,"Perch, ProtoSSM, SED, rank, blend, ensemble, ONNX, gate, OOF, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,tuckerarrants/bc2026-distilled-sed-public|jaejohn/perch-meta|tuckerarrants/perch-v2-no-dft-onnx|rishikeshjani/perch-onnx-for-birdclef-2026|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
birdclef-2026-gate-fake008-head0015,BirdCLEF+ 2026 Gate Fake008 Head0015,"Perch, ProtoSSM, SED, rank, blend, ensemble, ONNX, gate, OOF, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,tuckerarrants/bc2026-distilled-sed-public|konbu17/bird26-train-audio-head-v1|jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
birdclef-2026-improved-ensemble,BirdCLEF+ 2026 | Improved Ensemble ,"Perch, ProtoSSM, SED, rank, blend, ensemble, gate, gated, OOF, LGBM, LightGBM, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,yuriygreben/perch-meta|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
birdclef-2026-iter-pseudo-perch-sed-lb-0-934,BirdCLEF+ 2026 Iter-Pseudo Perch+SED LB 0.934,"Perch, ProtoSSM, EfficientNet, SED, pseudo, rank, blend, ensemble, ONNX, gate, gated, OOF, LGBM, LightGBM, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,|||needless090/birdclef2026-perch-tflite|jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
birdclef-2026-onnx-perch-sequence-model-302597,BirdCLEF 2026 — ONNX Perch + Sequence Model 302597,"Perch, ProtoSSM, SED, rank, blend, ensemble, ONNX, OOF, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
birdclef-2026-perch-v2-protossm-0-925,BirdCLEF+ 2026 — Perch v2 + ProtoSSM · 0.925,"Perch, ProtoSSM, EfficientNet, SED, rank, blend, ensemble, ONNX, gate, gated, OOF, LGBM, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,tuckerarrants/bc2026-distilled-sed-public|jaejohn/perch-meta|tuckerarrants/perch-v2-no-dft-onnx|rishikeshjani/perch-onnx-for-birdclef-2026|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
birdclef-2026-s124-s114-g124-f1-rankblend,BirdCLEF 2026 S124 S114 G124 F1 RankBlend,"Perch, ProtoSSM, EfficientNet, SED, pseudo, rank, blend, ensemble, ONNX, gate, gated, OOF, LGBM, LightGBM, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,|tuckerarrants/bc2026-distilled-sed-public|itshyao/birdclef2026-g124-effv2s-2025pre-pseudo-assets|jaejohn/perch-meta|tuckerarrants/perch-v2-no-dft-onnx|rishikeshjani/perch-onnx-for-birdclef-2026|hideyukizushi/sgkfk-202604041716|ashok205/tf-wheels|hideyukizushi/bird26-reprod-perch-proto-residualssm-train-s7177|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
birdclef-2026-v6,BirdCLEF+ 2026 V6,"Perch, ProtoSSM, EfficientNet, SED, rank, blend, ensemble, ONNX, gate, gated, OOF, LGBM, LightGBM, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,|tuckerarrants/bc2026-distilled-sed-public|jaejohn/perch-meta|tuckerarrants/perch-v2-no-dft-onnx|rishikeshjani/perch-onnx-for-birdclef-2026|hideyukizushi/sgkfk-202604041716|ashok205/tf-wheels|hideyukizushi/bird26-reprod-perch-proto-residualssm-train-s7177|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
birdclef-2026-visual-cpu-inference,BirdCLEF 2026 | Visual CPU Inference,"Perch, ProtoSSM, SED, rank, blend, ensemble, ONNX, gate, gated, OOF, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,tuckerarrants/bc2026-distilled-sed-public|mtoshidesu/birdclef-flow-diagram|jaejohn/perch-meta|tuckerarrants/perch-v2-no-dft-onnx|rishikeshjani/perch-onnx-for-birdclef-2026|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
birdclef-26-onnx-perch-dual-ssms-vectori-87d214,BirdCLEF+ 26 | ONNX Perch Dual SSMs Vectori 87d214,"Perch, ProtoSSM, SED, rank, blend, ensemble, ONNX, OOF, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
birdclef-26-onnx-perch-dual-ssms-vectorized-mlp,BirdCLEF+ 26 | ONNX Perch Dual SSMs Vectorized-MLP,"Perch, ProtoSSM, SED, rank, blend, ensemble, ONNX, OOF, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
birdclef-26-two-pass-ssm-advanced-pp,BirdCLEF+ 26 | Two-Pass SSM + Advanced PP,"Perch, ProtoSSM, SED, rank, blend, ensemble, ONNX, gate, OOF, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
birdclef-26-two-pass-ssm-advanced-pp-d9c348,BirdCLEF+ 26 | Two-Pass SSM + Advanced PP d9c348,"Perch, ProtoSSM, SED, rank, blend, ensemble, ONNX, gate, OOF, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
birdclef-input-layout-debug,birdclef-input-layout-debug,"Perch, PCA",,,,ttgrcgrc/perch-probe-v1-public
birdclef-perch-probe,birdclef-perch-probe,"Perch, TTA",,,,ttgrcgrc/perch-probe-context15-v1-public|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
birdclef-protossm-efficientnet,BirdCLEF ProtoSSM + EfficientNet,"Perch, ProtoSSM, EfficientNet, SED, rank, blend, ensemble, ONNX, OOF, prior, TTA, ResidualSSM, MLP, PCA, threshold, temperature, smooth",none,False,False,tuckerarrants/bc2026-distilled-sed-public|jaejohn/perch-meta|tuckerarrants/perch-v2-no-dft-onnx|rishikeshjani/perch-onnx-for-birdclef-2026|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
birdclef-protossm-efficientnet-sed-all-p-0db1a0,BirdCLEF ProtoSSM + EfficientNet SED (All P 0db1a0,"Perch, ProtoSSM, EfficientNet, SED, rank, blend, ensemble, ONNX, OOF, prior, TTA, ResidualSSM, MLP, PCA, threshold, temperature, smooth",none,False,False,tuckerarrants/bc2026-distilled-sed-public|jaejohn/perch-meta|tuckerarrants/perch-v2-no-dft-onnx|rishikeshjani/perch-onnx-for-birdclef-2026|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
birdclef-protossm-efficientnet-sed-all-public,BirdCLEF ProtoSSM + EfficientNet SED (All Public),"Perch, ProtoSSM, EfficientNet, SED, rank, blend, ensemble, ONNX, OOF, prior, TTA, ResidualSSM, MLP, PCA, threshold, temperature, smooth",none,False,False,tuckerarrants/bc2026-distilled-sed-public|jaejohn/perch-meta|tuckerarrants/perch-v2-no-dft-onnx|rishikeshjani/perch-onnx-for-birdclef-2026|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
birdclef2026-perch-v75,BirdCLEF2026 Perch v75,"Perch, ProtoSSM, EfficientNet, SED, pseudo, blend, ensemble, ONNX, OOF, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, temperature, smooth",none,False,False,||||ludovick/onnxruntime|jaejohn/perch-meta|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
birdclef2026-v177a-cluster-aware-add,birdclef2026-v177a-cluster-aware-add,"Perch, ProtoSSM, EfficientNet, SED, pseudo, rank, blend, ensemble, ONNX, gate, gated, OOF, LGBM, LightGBM, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,|||needless090/birdclef2026-perch-tflite|jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
exp11-public-frontier-m23-delta-smooth-0c69a5,Exp11 Public Frontier M23 Delta Smooth 0C69A5,"Perch, ProtoSSM, SED, pseudo, rank, blend, ensemble, gate, gated, OOF, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,jaejohn/perch-meta|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
exp17-efficientnetb0-20s-no-prior-subm-2ae69a,Exp17 Efficientnetb0 20S No Prior Subm 2Ae69A,"Perch, ProtoSSM, EfficientNet, SED, blend, ensemble, prior, TTA, PCA, smooth",,,,
exp17-efficientnetb0-20s-no-prior-subm-bafba6,Exp17 Efficientnetb0 20S No Prior Subm Bafba6,"Perch, ProtoSSM, EfficientNet, SED, blend, ensemble, prior, TTA, PCA, smooth",,,,
exp20-public-frontier-iter-pseudo-perc-4f0375,Exp20 Public Frontier Iter Pseudo Perc 4F0375,"Perch, ProtoSSM, EfficientNet, SED, pseudo, rank, blend, ensemble, gate, gated, OOF, LGBM, LightGBM, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,jaejohn/perch-meta|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
exp22-accessible-sed-b0-pseudo-r1-no-p-5513f3,Exp22 Accessible Sed B0 Pseudo R1 No P 5513F3,"Perch, ProtoSSM, EfficientNet, SED, pseudo, rank, blend, ensemble, gate, gated, OOF, LGBM, LightGBM, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,backtracking/birdclef2026-sed-b0-pseudo-r1-f01|jaejohn/perch-meta|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
gated-rank-fusion-pipeline,Gated Rank Fusion Pipeline,"Perch, ProtoSSM, SED, rank, blend, ensemble, ONNX, gate, OOF, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,|tuckerarrants/bc2026-distilled-sed-public|jaejohn/perch-meta|tuckerarrants/perch-v2-no-dft-onnx|rishikeshjani/perch-onnx-for-birdclef-2026|hideyukizushi/sgkfk-202604041716|ashok205/tf-wheels|hideyukizushi/bird26-reprod-perch-proto-residualssm-train-s7177|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
m23-stopgrad-delta-smooth-miaaaf,m23-stopgrad-delta-smooth-miaaaf,"Perch, ProtoSSM, SED, rank, ensemble, gate, gated, OOF, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,jaejohn/perch-meta|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
m26b-stopgrad-prior-tuned,m26b-stopgrad-prior-tuned,"Perch, ProtoSSM, SED, rank, ensemble, gate, gated, OOF, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,jaejohn/perch-meta|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
m27b-stopgrad-strong-distill,m27b-stopgrad-strong-distill,"Perch, ProtoSSM, SED, rank, ensemble, gate, gated, OOF, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,jaejohn/perch-meta|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
notebookebe86947bc,notebookebe86947bc,"Perch, ProtoSSM, SED, rank, blend, ensemble, ONNX, OOF, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026|ashok205/tf-wheels||google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
notebookebe86947bc-c74d0c,notebookebe86947bc c74d0c,"Perch, ProtoSSM, SED, rank, blend, ensemble, ONNX, OOF, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026|ashok205/tf-wheels||google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
pantanal-distill-birdclef2026-improvement-a-0c4824,pantanal-distill-birdclef2026-Improvement a 0c4824,"Perch, ProtoSSM, SED, rank, blend, ensemble, gate, gated, OOF, LGBM, LightGBM, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,jaejohn/perch-meta|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
pantanal-distill-birdclef2026-improvement-a4dc68,pantanal-distill-birdclef2026-Improvement a4dc68,"Perch, ProtoSSM, SED, rank, blend, ensemble, gate, gated, OOF, LGBM, LightGBM, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,jaejohn/perch-meta|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
pantanal-distill-birdclef2026-onnx,pantanal-distill-birdclef2026-ONNX,"Perch, ProtoSSM, SED, rank, blend, ensemble, ONNX, gate, gated, OOF, LGBM, LightGBM, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,|lixin73/birdclef2026-v27-onnx-perch-meta-forum-v1-lb872|jaejohn/perch-meta|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
pantanal-distill-birdclef2026-v18x-dmodel,pantanal-distill-birdclef2026-v18x-dmodel,"Perch, ProtoSSM, SED, rank, ensemble, gate, gated, OOF, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,jaejohn/perch-meta|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
pantanal-onnx-fast-noalign,Pantanal ONNX fast-noalign,"Perch, ProtoSSM, SED, rank, blend, ensemble, ONNX, gate, gated, OOF, LGBM, LightGBM, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,lixin73/birdclef2026-v27-onnx-perch-meta-forum-v1-lb872|jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
protossm-v18-maximum-ensemble-artifact,ProtoSSM v18: Maximum Ensemble & artifact,"Perch, ProtoSSM, SED, rank, blend, ensemble, gate, gated, OOF, LGBM, LightGBM, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,|jaejohn/perch-meta|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
pytorch-differentiable-perchv2,pytorch differentiable perchv2,"Perch, ONNX",none,False,False,hengck23/pytorch-perchv2
sub-080-yuriy-dualssm,SUB 080 Yuriy DualSSM,"Perch, ProtoSSM, SED, rank, blend, ensemble, ONNX, OOF, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
tedbirdclef-2026-improved,tedBirdCLEF+ 2026 Improved,"Perch, ProtoSSM, SED, rank, blend, ensemble, ONNX, gate, OOF, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,tuckerarrants/bc2026-distilled-sed-public|jaejohn/perch-meta|tuckerarrants/perch-v2-no-dft-onnx|rishikeshjani/perch-onnx-for-birdclef-2026|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
test-0-929-mod-w11-oof-framework-miaaaf,test-0.929 mod w11-oof-framework-miaaaf,"Perch, ProtoSSM, SED, rank, blend, ensemble, gate, gated, OOF, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,ttahara/birdclef2026-train-audio-wav-00|jaejohn/perch-meta|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/bird-vocalization-classifier/8|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1|google/bird-vocalization-classifier/TensorFlow2/perch_v2/1
v7-stop-gradient-wslll,v7-stop-gradient-wslll,"Perch, ProtoSSM, SED, rank, ensemble, gate, gated, OOF, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,jaejohn/perch-meta|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
version-3-lgbm,Version 3 lgbm,"Perch, ProtoSSM, SED, rank, ensemble, gate, gated, OOF, LGBM, LightGBM, prior, TTA, ResidualSSM, MLP, PCA, GroupKFold, threshold, temperature, smooth",none,False,False,jaejohn/perch-meta|ashok205/tf-wheels|google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1
